datetime,open,high,low,close
2025-12-01 09:00:00,54.15,54.3,54.14,54.25
2025-12-01 09:01:00,54.24,54.39,54.24,54.39
2025-12-01 09:02:00,54.39,54.4,54.31,54.32
2025-12-01 09:03:00,54.37,54.37,54.31,54.31
2025-12-01 09:04:00,54.34,54.35,54.33,54.35
2025-12-01 09:05:00,54.35,54.37,54.31,54.31
2025-12-01 09:06:00,54.31,54.36,54.3,54.31
2025-12-01 09:07:00,54.34,54.36,54.25,54.33
2025-12-01 09:08:00,54.34,54.36,54.33,54.35
2025-12-01 09:09:00,54.35,54.35,54.3,54.31
2025-12-01 09:10:00,54.34,54.35,54.31,54.33
2025-12-01 09:11:00,54.32,54.35,54.32,54.35
2025-12-01 09:12:00,54.35,54.36,54.35,54.35
2025-12-01 09:13:00,54.35,54.35,54.34,54.34
2025-12-01 09:14:00,54.33,54.33,54.31,54.33
2025-12-01 09:15:00,54.32,54.33,54.24,54.25
2025-12-01 09:16:00,54.25,54.27,54.24,54.24
2025-12-01 09:17:00,54.27,54.27,54.25,54.25
2025-12-01 09:18:00,54.26,54.27,54.26,54.26
2025-12-01 09:19:00,54.26,54.27,54.26,54.27
2025-12-01 09:20:00,54.26,54.26,54.19,54.22
2025-12-01 09:21:00,54.22,54.27,54.2,54.27
2025-12-01 09:22:00,54.25,54.27,54.25,54.27
2025-12-01 09:23:00,54.28,54.28,54.28,54.28
2025-12-01 09:24:00,54.27,54.27,54.27,54.27
2025-12-01 09:25:00,54.27,54.3,54.26,54.3
2025-12-01 09:26:00,54.28,54.3,54.28,54.3
2025-12-01 09:27:00,54.31,54.35,54.3,54.35
2025-12-01 09:28:00,54.35,54.35,54.31,54.32
2025-12-01 09:29:00,54.33,54.35,54.3,54.34
2025-12-01 09:30:00,54.34,54.36,54.32,54.36
2025-12-01 09:31:00,54.36,54.37,54.35,54.37
2025-12-01 09:32:00,54.37,54.39,54.36,54.39
2025-12-01 09:33:00,54.38,54.39,54.37,54.38
2025-12-01 09:34:00,54.38,54.38,54.37,54.37
2025-12-01 09:35:00,54.38,54.38,54.37,54.38
2025-12-01 09:36:00,54.38,54.38,54.37,54.38
2025-12-01 09:37:00,54.38,54.38,54.37,54.37
2025-12-01 09:38:00,54.37,54.38,54.37,54.37
2025-12-01 09:39:00,54.37,54.38,54.34,54.34
2025-12-01 09:40:00,54.34,54.34,54.33,54.34
2025-12-01 09:41:00,54.34,54.34,54.3,54.31
2025-12-01 09:42:00,54.32,54.34,54.32,54.33
2025-12-01 09:43:00,54.34,54.34,54.33,54.33
2025-12-01 09:44:00,54.33,54.35,54.33,54.34
2025-12-01 09:45:00,54.35,54.35,54.33,54.34
2025-12-01 09:46:00,54.34,54.34,54.33,54.34
2025-12-01 09:47:00,54.33,54.34,54.33,54.33
2025-12-01 09:48:00,54.34,54.34,54.33,54.34
2025-12-01 09:49:00,54.34,54.35,54.33,54.33
2025-12-01 09:50:00,54.33,54.33,54.32,54.32
2025-12-01 09:51:00,54.32,54.32,54.29,54.29
2025-12-01 09:52:00,54.28,54.31,54.28,54.29
2025-12-01 09:53:00,54.31,54.32,54.29,54.32
2025-12-01 09:54:00,54.32,54.35,54.32,54.33
2025-12-01 09:55:00,54.33,54.33,54.33,54.33
2025-12-01 09:56:00,54.33,54.35,54.33,54.35
2025-12-01 09:57:00,54.35,54.37,54.34,54.37
2025-12-01 09:58:00,54.37,54.38,54.37,54.37
2025-12-01 09:59:00,54.37,54.37,54.36,54.36
2025-12-01 10:00:00,54.36,54.36,54.32,54.33
2025-12-01 10:01:00,54.33,54.33,54.31,54.32
2025-12-01 10:02:00,54.32,54.32,54.32,54.32
2025-12-01 10:03:00,54.32,54.34,54.32,54.34
2025-12-01 10:04:00,54.32,54.34,54.32,54.34
2025-12-01 10:05:00,54.34,54.34,54.34,54.34
2025-12-01 10:06:00,54.33,54.35,54.33,54.35
2025-12-01 10:07:00,54.35,54.35,54.34,54.35
2025-12-01 10:08:00,54.35,54.35,54.34,54.34
2025-12-01 10:09:00,54.35,54.35,54.35,54.35
2025-12-01 10:10:00,54.34,54.36,54.34,54.35
2025-12-01 10:11:00,54.36,54.37,54.36,54.36
2025-12-01 10:12:00,54.37,54.37,54.36,54.37
2025-12-01 10:13:00,54.37,54.37,54.36,54.36
2025-12-01 10:14:00,54.36,54.37,54.36,54.37
2025-12-01 10:15:00,54.36,54.37,54.35,54.35
2025-12-01 10:16:00,54.35,54.37,54.35,54.35
2025-12-01 10:17:00,54.36,54.36,54.35,54.35
2025-12-01 10:18:00,54.35,54.36,54.32,54.32
2025-12-01 10:19:00,54.32,54.33,54.32,54.32
2025-12-01 10:20:00,54.32,54.32,54.3,54.3
2025-12-01 10:21:00,54.3,54.31,54.3,54.3
2025-12-01 10:22:00,54.31,54.31,54.3,54.3
2025-12-01 10:23:00,54.3,54.31,54.3,54.31
2025-12-01 10:24:00,54.3,54.31,54.3,54.3
2025-12-01 10:25:00,54.31,54.31,54.3,54.3
2025-12-01 10:26:00,54.3,54.32,54.3,54.3
2025-12-01 10:27:00,54.31,54.31,54.31,54.31
2025-12-01 10:28:00,54.3,54.31,54.3,54.31
2025-12-01 10:29:00,54.3,54.31,54.3,54.31
2025-12-01 10:30:00,54.3,54.31,54.3,54.3
2025-12-01 10:31:00,54.3,54.31,54.3,54.31
2025-12-01 10:32:00,54.31,54.31,54.29,54.3
2025-12-01 10:33:00,54.28,54.29,54.27,54.27
2025-12-01 10:34:00,54.27,54.28,54.27,54.27
2025-12-01 10:35:00,54.28,54.28,54.27,54.28
2025-12-01 10:36:00,54.28,54.28,54.28,54.28
2025-12-01 10:37:00,54.28,54.28,54.27,54.27
2025-12-01 10:38:00,54.27,54.28,54.27,54.27
2025-12-01 10:39:00,54.27,54.27,54.27,54.27
2025-12-01 10:40:00,54.27,54.28,54.27,54.27
